Based on the earnings transcript for The Procter & Gamble Company, the company reported strong results for fiscal year 2024, with organic sales growth of 4% and core EPS growth of 12%. The company also reported a 360 basis point improvement in core gross margin and a 170 basis point increase in core operating margin. The company's strategy of driving market growth through innovation and superior products continues to pay off, with 21 out of 25 brands growing and 11 of those growing at high single digits or higher rates. The company's focus on productivity and cost savings has also been effective, with over $2.3 billion of productivity improvements enabled by a significant increase in investment in superior products, packages, and brand communication to drive market growth. The company has also increased its dividend by 7% and returned over $14 billion of value to share owners, $9.3 billion in dividends, and $5 billion in share repurchase. The company's guidance for fiscal year 2025 projects organic sales growth of 3% to 5% and core EPS growth of 5% to 7%.

The company's strategy of driving market growth through innovation and superior products continues to pay off, with 21 out of 25 brands growing and 11 of those growing at high single digits or higher rates. The company's focus on productivity and cost savings has also been effective, with over $2.3 billion of productivity improvements enabled by a significant increase in investment in superior products, packages, and brand communication to drive market growth. The company has also increased its dividend by 7% and returned over $14 billion of value to share owners, $9.3 billion in dividends, and $5 billion in share repurchase. The company's guidance for fiscal year 2025 projects organic sales growth of 3% to 5% and core EPS growth of 5% to 7%.
The company's strategy of driving market growth through innovation and superior products continues to pay off, with 21 out of 25 brands growing and 11 of those growing at high single digits or higher rates. The company's focus on productivity and cost savings has also been effective, with over $2.3 billion of productivity improvements enabled by a significant increase in investment in superior products, packages, and brand communication to drive market growth. The company has also increased its dividend by 7% and returned over $14 billion of value to share owners, $9.3 billion in dividends, and $5 billion in share repurchase. The company's guidance for fiscal year 2025 projects organic sales growth of 3% to 5% and core EPS growth of 5% to 7%.

The company's strategy of driving market growth through innovation and superior products continues to pay off, with 21 out of 25 brands growing and 11 of those growing at high single digits or higher rates. The company's focus on productivity and cost savings has also been effective, with over $2.3 billion of productivity improvements enabled by a significant increase in investment in superior products, packages, and brand communication to drive market growth. The company has also increased its dividend by 7% and returned over $14 billion of value to share owners, $9.3 billion in dividends, and $5 billion in share repurchase. The company's guidance for fiscal year 2025 projects organic sales growth of 3% to 5% and core EPS growth of 5% to 7%.

The company's strategy of driving market growth through innovation and superior products continues to pay off, with 21 out of 25 brands growing and 11 of those growing at high single digits or higher rates. The company's focus on productivity and cost savings has also been effective, with over $2.3 billion of productivity improvements enabled by a significant increase in investment in superior products, packages, and brand communication to drive market growth. The company has also increased its dividend by 7% and returned over $14 billion of value to share owners, $9.3 billion in dividends, and $5 billion in share repurchase. The company's guidance for fiscal year 2025 projects organic sales growth of 3% to 5% and core EPS growth of 5% to 7%.

The company's strategy of driving market growth through innovation and superior products continues to pay off, with 21 out of 25 brands growing and 11 of those growing at high single digits or higher rates. The company's focus on productivity and cost savings has also been effective, with over $2.3 billion of productivity improvements enabled by a significant increase in investment in superior products, packages, and brand communication to drive market growth. The company has also increased its dividend by 7% and returned over $14 billion of value to share owners, $9.3 billion in dividends, and $5 billion in share repurchase. The company's guidance for fiscal year 2025 projects organic sales growth of 3% to 5% and core EPS growth of 5% to 7%.

The company's strategy of driving market growth through innovation and superior products continues to pay off, with 21 out of 25 brands growing and 11 of those growing at high single digits or higher rates. The company's focus on productivity and cost savings has also been effective, with over $2.3 billion of productivity improvements enabled by a significant increase in investment in superior products, packages, and brand communication to drive market growth. The company has also increased its dividend by 7% and returned over $14 billion of value to share owners, $9.3 billion in dividends, and $5 billion in share repurchase. The company's guidance for fiscal year 2025 projects organic sales growth of 3% to 5% and core EPS growth of 5% to 7%.

The company's strategy of driving market growth through innovation and superior products continues to pay off, with 21 out of 25 brands growing and 11 of those growing at high single digits or higher rates. The company's focus on productivity and cost savings has also been effective, with over $2.3 billion of productivity improvements enabled by a significant increase in investment in superior products, packages, and brand communication to drive market growth. The company has also increased its dividend by 7% and returned over $14 billion of value to share owners, $9.3 billion in dividends, and $5 billion in share repurchase. The company's guidance for fiscal year 2025 projects organic sales growth of 3% to 5% and core EPS growth of 5% to 7%.

