The earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets. The company's outlook for 2012 is cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

Overall, the earnings call for 3M Company revealed a mixed picture for the third quarter of 2011. Despite a challenging macroeconomic environment, the company reported strong sales growth driven by a combination of organic volume increases, selling price hikes, and currency benefits. However, the slowdown in electronics markets and the impact of European sovereign debt have led to a reduction in the outlook for the year. The company expects a lower share count to boost earnings, but the impact of a lower share count is expected to be offset by a reduction in earnings due to a slower organic volume growth. The company also expects to return $3.4 billion to shareholders via cash dividends and gross share buybacks through nine months of 2011. The company's outlook for 2012 is also cautious, with expectations of slower growth rates and a lower share count to boost earnings. The company expects to return $1.3 billion to $1.5 billion in capital expenditures in 2011, up from $1.1 billion in 2010. The company also expects to invest in new capacity for 3M branded Novec products used in electronics, data centers, semiconductors, and medical markets.

